,Apple iPhone 8,Apple iPhone X,Apple iPhone XS,Apple iPhone 11,Apple iPhone 12,Apple iPhone 13
169,494.945,622.1342857142856,511.59400000000005,655.3499999999999,618.9100000000001,
170,489.5933333333333,610.99,539.0,655.215,,
171,509.9725,622.132857142857,518.235,655.1744444444444,,
172,494.945,606.6566666666666,512.4699999999999,674.99,619.99,
173,503.3233333333333,623.99,509.3928571428572,673.7042857142857,629.99,
174,489.9,638.74,489.884,677.8249999999999,633.995,
175,493.29333333333335,659.99,568.99,681.49,626.6566666666666,
176,489.9,634.9766666666667,503.68000000000006,652.33,,
177,499.99,631.3233333333334,502.8833333333333,656.3779999999999,624.99,
178,508.44961538461547,619.4899999999999,509.191,653.1780000000001,,
179,499.325,625.6566666666666,522.0319999999999,648.995,639.99,
180,509.95,628.2627272727271,527.657142857143,642.1899999999999,,
181,498.7075,617.4899999999999,533.7433333333333,,620.66,
182,499.0,617.9860000000001,508.7835714285714,629.9879999999999,644.2966666666666,
183,496.0,635.3333333333334,511.18999999999994,628.995,620.516,
184,493.0,629.49,516.9975,627.49,620.5657142857143,
185,479.0,,516.3166666666667,,619.0755555555555,
186,478.95500000000004,617.8100000000001,507.99,,629.808,
187,478.1634615384615,617.8100000000001,,,637.8566666666667,
188,476.15310344827583,620.97,503.245,628.995,,
189,475.03,629.62,503.49,629.99,,
190,474.72125000000005,646.935,499.875,,637.4000000000001,
191,473.74458333333337,648.9766666666667,503.14,639.1566666666666,638.338,
192,472.87999999999994,643.47,502.8866666666667,629.495,589.0925,
193,472.98,,502.928,,,
194,472.66,654.98,491.32666666666665,628.99,579.96,
195,472.97,653.982,492.91399999999993,629.0,,
196,472.865,663.9780000000001,498.59,633.9925000000001,,
197,454.495,679.94,497.942,632.99,578.1479999999999,
198,454.0,639.99,,644.99,579.65,
199,455.90363636363634,,490.0,,579.49,
200,449.70142857142855,628.99,500.81800000000004,656.9899999999999,580.95,
201,439.99,,503.8625,655.192,,
202,439.7916666666667,639.49,512.88,664.9933333333333,592.485,
203,437.9552631578947,641.1075,500.0575,675.99,594.99,
204,428.9,649.9725000000001,490.1583333333333,704.99,607.372,
205,428.5225,644.97,489.582,709.9900000000001,611.475,
206,428.8,655.774,492.91,685.4925,578.0,
207,424.96500000000003,637.99,,704.792,579.43,
208,424.9533333333333,628.99,476.5,707.2425000000001,588.14,
209,426.1333333333334,,489.4675,692.9780000000001,613.5,
210,426.7466666666667,729.74,489.5,713.5,599.225,
211,428.49,,485.0,639.99,597.1333333333333,
212,427.6233333333333,631.5766666666667,489.0,659.97,596.4833333333333,
213,424.95500000000004,629.5174999999999,,,594.36,
214,424.96000000000004,839.0,488.995,649.99,,
215,424.96000000000004,687.954,492.16499999999996,645.6566666666666,624.0799999999999,
216,424.95,734.495,492.81999999999994,684.0,,
217,419.0,,,617.49,605.9175,
218,423.3775,,,,619.95,
219,424.82,659.95,477.495,,609.95,
220,431.72333333333336,656.24,489.42904761904765,611.245,664.98,
221,427.245,782.6633333333333,494.12874999999997,622.49,649.33,
222,425.90999999999997,701.784,494.608,623.994,628.4875,
223,431.7675,782.6633333333333,503.85714285714283,624.49,619.0,
224,431.6566666666666,659.99,504.95,619.74,636.76,
225,434.03600000000006,634.99,513.5,,,
226,438.04,,517.4449999999999,,604.99,
227,441.78999999999996,624.99,515.106,639.98,,
228,441.49,,564.9175,662.13,598.45,
229,439.99,,495.0,617.99,604.985,
230,440.9766666666667,613.81,509.10555555555555,,,
231,441.2757142857142,624.99,514.0,650.0,,
232,441.49,,575.0,616.66,632.5033333333333,
233,441.99,,529.0,608.99,,
234,432.48,,520.0,,,
235,439.10999999999996,625.73,523.1700000000001,569.4300000000001,618.1133333333333,
236,439.99,633.778,497.3860000000001,591.2833333333333,633.5655555555555,
237,439.98,,504.27714285714285,606.99,628.99,
238,432.46500000000003,,494.49,609.99,602.98,
239,439.985,,499.75666666666666,615.99,629.99,
240,439.74,,509.0,609.99,,
241,424.93,,508.99,609.192,607.2366666666667,
242,437.46000000000004,,501.985,613.4933333333333,598.2475,
243,424.9099999999999,,,610.99,602.6899999999999,
244,449.0,651.0,501.995,612.3233333333334,597.47,
245,439.99,650.0,481.5,604.3266666666667,594.95,
246,424.93,,473.42,599.97,594.8050000000001,
247,420.84999999999997,645.485,470.0,582.495,593.6433333333333,
248,412.9566666666667,645.485,,595.1957142857143,589.762857142857,
249,409.4166666666667,654.5,,597.365,593.99,
250,405.51,626.49,,,,
251,404.886,625.7014285714287,475.28000000000003,593.3733333333333,584.99,
252,402.10999999999996,645.055,476.0,592.26125,584.97,
253,400.1453333333333,645.12,472.1266666666667,605.092,584.98,
254,401.50500000000005,643.8725000000001,471.0,596.495,582.918,
255,400.7007692307692,635.0,469.99,598.985,583.5566666666667,
256,399.10999999999996,607.495,469.6366666666667,,583.99,
257,399.75,597.74,467.99,,,
258,398.2166666666667,608.6828571428572,458.62875,,607.48,
259,394.33,584.99,460.4283333333333,607.66,593.7,
260,392.99,625.02,476.4066666666667,615.99,593.7,
261,389.99,612.49,480.68375000000003,,582.69,
262,389.975,616.6533333333333,477.69166666666666,596.57,598.45,
263,388.985,624.485,477.58818181818185,605.285,605.0,
264,387.83000000000004,621.13,475.5972727272727,,601.725,
265,387.658,619.965,472.5716666666667,,596.0139999999999,
266,386.47,605.7525,473.0,,615.9933333333333,
267,384.13,601.235,473.475,,601.48,
268,380.29,601.2325000000001,469.0333333333333,,607.9733333333334,
269,380.26,,463.245,,662.7385714285714,
270,380.06333333333333,,468.26,616.995,595.2966666666666,
271,379.475,584.99,465.50666666666666,616.49,588.725,
272,378.93,599.97,,612.99,582.49,
273,378.95,599.96,462.475,619.99,584.6,
274,378.93,,462.31333333333333,,585.7940000000001,
275,378.9,599.9533333333333,461.65000000000003,624.99,599.465,
276,378.82,,462.9666666666667,619.995,603.274,
277,378.69000000000005,,460.0,,591.21,
278,378.63,599.83,462.475,,591.6575,
279,378.55999999999995,599.7768749999999,467.0,,589.9799999999999,
280,378.55,599.9000000000001,464.95,,584.9133333333333,
281,378.555,,464.0,,586.5360000000001,
282,378.495,,455.98400000000004,,594.98,
283,378.5,,443.21000000000004,,587.475,
284,378.46000000000004,599.9125,438.99,612.66,582.6650000000001,
285,377.92999999999995,594.10125,436.5,601.95,582.9283333333334,
286,378.5,589.9372727272728,440.0,601.95,584.138,
287,387.49,590.3642857142858,444.235,,590.6300000000001,
288,389.99,,441.525,610.0,587.3419999999999,
289,386.6566666666667,592.445,435.0,611.9933333333333,579.0500000000001,
290,384.2099999999999,588.665,452.6287500000001,612.99,581.3828571428571,
