,Day,iPhone 8,iPhone X,iPhone XS,iPhone 11,,
414,5/3/2019,355.2642857,424.99,367.582,572.3266667,,
415,6/3/2019,358.7666667,428.99,364.6283333,581.33,,
417,8/3/2019,365.3233333,427.8471429,359.532,582.91,,
418,9/3/2019,342.99,427.4916667,376.156,582.49,,
419,10/3/2019,323.995,427.4185714,376.3155556,585.1,,
421,12/3/2019,324.49,423.538,368.5385714,577.95,,
423,14/3/2019,322.7325,421.6833333,360.96,577.2833333,,
424,15/3/2019,323.24,428.446,365.235,576.45,,
425,16/3/2019,318.19,430.536875,360.262,583.788,,
426,17/3/2019,310,446.3255556,358.57125,581.995,,
427,18/3/2019,308.796,433.45625,353.66,591.1583333,,
428,19/3/2019,309.785,444.425,361.74,578.875,,
429,20/3/2019,309.4925,451.99,354.5145455,583.9633333,,
430,21/3/2019,309,461.65,351.134,575.95,,
431,22/3/2019,302.192,459.2728571,344.7025,575.95,,
432,23/3/2019,296.6566667,449.86125,344.2285714,574.45,,
434,25/3/2019,309.495,446.5466667,352.4875,573.2833333,,
435,26/3/2019,315.28,448.2252941,350.995,573.45,,
438,29/3/2019,358.3166667,463.7566667,344.98,589.99,,
439,30/3/2019,346.19,454.9108333,342.4466667,585.15,,
442,2/4/2019,308.4575,468.2275,342.915,573.93,,
445,5/4/2019,311.745,459.9828571,336.4776923,569,,
446,6/4/2019,287.9466667,457.4916667,335.5966667,563.6633333,,
447,7/4/2019,336.3266667,459.84,335.97,565,,
449,9/4/2019,316.91125,462,338.18,564.085,,
450,10/4/2019,322.7422222,465.9871429,333.4875,573.99,,
451,11/4/2019,312.08875,455.99,332.99,565,,
452,12/4/2019,328.3225,458.286,334,607,,
453,13/4/2019,291.43,467.97,334.2,649,,
454,14/4/2019,321.716,453.995,330,568.9766667,,
455,15/4/2019,307.6036364,460.245,332.5,577.65,,
457,17/4/2019,305.695,471.995,335,556.5,,
458,18/4/2019,305.389,484.79,334.6333333,555,,
461,21/4/2019,305.4383333,488.994,334.5,556.6666667,,
462,22/4/2019,305.16,466.99,366,559.24,,
464,24/4/2019,309.158,472.49,377.572,554.735,,
478,8/5/2019,288.2692857,439,370.2666667,512.2175,,
479,9/5/2019,288.3133333,424,363.49,508.4142857,,
480,10/5/2019,285,429.5,367.995,499.97,,
482,12/5/2019,287.394,449,373.2,498.495,,
488,18/5/2019,282.25,450,358,504.3,,
491,21/5/2019,280.992,440,351.8727273,507.95,,
493,23/5/2019,279.786,489.995,353.5,508.44,,
495,25/5/2019,284.25,467.5,357.66,511.195,,
496,26/5/2019,274.6166667,466.16,359.475,519.94,,
497,27/5/2019,279.63,464.495,363.3166667,515.9057143,,
498,28/5/2019,268.05,516,361.495,516.328,,
499,29/5/2019,258.9957143,486.55,357.5,515.8914286,,
500,30/5/2019,257.81,468.385,359.95,505.99,,
501,31/5/2019,259.1457143,455.0883333,362.9966667,505.3133333,,
502,1/6/2019,259.0816667,454.495,357.778,513.2785714,,
503,2/6/2019,257.9866667,456.995,352.9866667,514.49,,
505,4/6/2019,256.3233333,469.41875,356,515.3266667,,
506,5/6/2019,249.66,473.8416667,357,519.225,,
509,8/6/2019,246.7,468.2514286,368.45,506.96,,
510,9/6/2019,239.9275,470,362.2866667,508.584,,
512,11/6/2019,238.295,464.1425,359.965,518.74,,
516,15/6/2019,237.7711111,465,359.86,518.9933333,,
517,16/6/2019,237.696,467.99,358,518.2425,,
518,17/6/2019,236.3638095,468.6666667,359.86,516.28,,
519,18/6/2019,235.376,463,359.49,503.6042857,,
520,19/6/2019,232.6816667,461.4,359,517.9933333,,
521,20/6/2019,232.34,461.3233333,357.975,511.944,,
522,21/6/2019,232.22,461.99,355.975,493.568,,
524,23/6/2019,232.275,461.49,361.895,507.786,,
527,26/6/2019,232.34,463.57,357.93,521.4875,,
528,27/6/2019,232.34,454.9966667,358.86,526.906,,
529,28/6/2019,235.07875,464.99,359.86,506.495,,
534,3/7/2019,234.86,446.7033333,371.748,499.9975,,
535,4/7/2019,233,446.4775,361.93,498.995,,
536,5/7/2019,232.5,442,354.86,489.596,,
547,16/7/2019,267.95,430.34,374.93,484,,
548,17/7/2019,257.9833333,427.6214286,374.7425,483.99,,
550,19/7/2019,270,428.85,373.9633333,477.8,,
551,20/7/2019,269.5775,429.42,356.1325,478.8542857,,
553,22/7/2019,284.23,428.495,365.72,481.4928571,,
554,23/7/2019,269.95,427.495,369.81,481.4,,
555,24/7/2019,273.74,427.495,368.495,481.995,,
556,25/7/2019,272.698,425,368,478.9925,,
558,27/7/2019,274.3483333,429.29,359.722,467.97,,
559,28/7/2019,282.81,425,370.31,467.95,,
560,29/7/2019,297.4254545,418.246,371.814,462.3,,
561,30/7/2019,319.384,412.24,373.74375,459.6333333,,
562,31/7/2019,288.3,411.995,354.86,459.552,,
564,2/8/2019,296.9877778,409.985,348.055,454.06,,
565,3/8/2019,282.3811111,409.85,349.86,457.875,,
568,6/8/2019,290.592,409,363.1033333,458.072,,
