Day,iPhone,Apple iPhone 8
560,387.0382377,297.4254545
561,390.8832768,319.384
562,378.2472789,288.3
564,376.8750554,296.9877778
565,374.5525422,282.3811111
568,379.7688001,290.592
569,377.4029095,290.9616667
570,374.6820218,286.6191667
572,366.9480877,274.4644444
577,367.9922526,278.5771429
579,368.5309447,280.7191304
581,366.829118,287.95
582,362.4112028,279.8266667
583,359.7008497,257.9933333
584,361.221073,256.5825
585,359.6559741,260.4242857
586,362.6941102,264.12
587,361.8918206,262.445
588,362.8946668,270.094
589,363.0325966,277.982
590,360.8962718,279.6558333
592,361.2594695,282.9014286
593,359.5263446,280.0525
594,355.0762877,267.6466667
595,358.7915572,266.985
597,355.9502775,273.695
599,359.6744199,273.8463636
603,359.277117,259.9916667
605,359.4120982,266.6633333
606,360.6784462,267.485
607,360.1455331,272.2085714
609,358.3921912,267.91
611,354.3850566,265
615,354.1424763,264.97
616,356.8752686,264.525
618,354.5443261,262.5
619,354.5735948,270
620,355.3492152,269.995
621,357.7529022,276.975
622,359.3090581,279.3266667
624,357.6983286,274.4975
626,354.8494227,273.2866667
627,354.2036114,276.965
628,355.3981596,276.0985714
629,354.4895761,274.59125
630,356.6279155,277.2277778
631,355.0626893,273.51
638,352.1978612,272.3990909
639,351.0543199,274.615
642,348.73551,274.166
644,346.3575832,274.215
645,346.3115255,269.5
646,347.654692,270.4975
648,354.1554693,269.9016667
649,342.0556134,268.99
650,340.9918649,268.6566667
658,336.7316965,265.995
666,328.4011378,270.99
668,324.3312979,264.49
670,331.8736084,273
671,328.155647,270.995
673,319.5166149,239.3066667
674,329.0097033,262.495
675,325.1895672,258.995
680,311.8628101,242.5
681,318.2767358,245
682,318.709939,246
683,318.723654,248
684,318.6730308,248.5
687,315.1592106,248.245
688,313.6662902,248.495
690,304.9882779,248.3266667
691,309.425908,247
692,307.7523498,245.88
693,314.1404691,247.058
694,314.2403231,252.4
695,305.7274558,241.08
696,301.1462388,239.5
700,304.2753264,247.08
702,305.4132892,249.73
705,307.8930809,256.5
706,306.039659,251.224
707,303.1171849,252.24625
708,298.3099664,249.64
710,303.08121,246.596
712,303.4756062,257.645
713,298.6722202,246.49
715,297.5454656,242.7966667
717,302.0094524,250.675
720,301.3640056,238.97
721,292.8921171,236.592
