,Day,iPhone
564,2/8/2019,376.8750554
565,3/8/2019,374.5525422
568,6/8/2019,379.7688001
569,7/8/2019,377.4029095
570,8/8/2019,374.6820218
572,10/8/2019,366.9480877
577,15/8/2019,367.9922526
579,17/8/2019,368.5309447
581,19/8/2019,366.829118
582,20/8/2019,362.4112028
583,21/8/2019,359.7008497
584,22/8/2019,361.221073
585,23/8/2019,359.6559741
586,24/8/2019,362.6941102
587,25/8/2019,361.8918206
588,26/8/2019,362.8946668
589,27/8/2019,363.0325966
590,28/8/2019,360.8962718
592,30/8/2019,361.2594695
593,31/8/2019,359.5263446
594,1/9/2019,355.0762877
595,2/9/2019,358.7915572
597,4/9/2019,355.9502775
599,6/9/2019,359.6744199
603,10/9/2019,359.277117
605,12/9/2019,359.4120982
606,13/9/2019,360.6784462
607,14/9/2019,360.1455331
609,16/9/2019,358.3921912
611,18/9/2019,354.3850566
615,22/9/2019,354.1424763
616,23/9/2019,356.8752686
618,25/9/2019,354.5443261
619,26/9/2019,354.5735948
620,27/9/2019,355.3492152
621,28/9/2019,357.7529022
622,29/9/2019,359.3090581
624,1/10/2019,357.6983286
626,3/10/2019,354.8494227
627,4/10/2019,354.2036114
628,5/10/2019,355.3981596
629,6/10/2019,354.4895761
630,7/10/2019,356.6279155
631,8/10/2019,355.0626893
638,15/10/2019,352.1978612
639,16/10/2019,351.0543199
642,19/10/2019,348.73551
644,21/10/2019,346.3575832
645,22/10/2019,346.3115255
646,23/10/2019,347.654692
648,25/10/2019,354.1554693
649,26/10/2019,342.0556134
650,27/10/2019,340.9918649
658,4/11/2019,336.7316965
666,12/11/2019,328.4011378
668,14/11/2019,324.3312979
670,16/11/2019,331.8736084
671,17/11/2019,328.155647
673,19/11/2019,319.5166149
674,20/11/2019,329.0097033
675,21/11/2019,325.1895672
680,26/11/2019,311.8628101
681,27/11/2019,318.2767358
682,28/11/2019,318.709939
683,29/11/2019,318.723654
684,30/11/2019,318.6730308
687,3/12/2019,315.1592106
688,4/12/2019,313.6662902
690,6/12/2019,304.9882779
691,7/12/2019,309.425908
692,8/12/2019,307.7523498
693,9/12/2019,314.1404691
694,10/12/2019,314.2403231
695,11/12/2019,305.7274558
696,12/12/2019,301.1462388
700,16/12/2019,304.2753264
702,18/12/2019,305.4132892
705,21/12/2019,307.8930809
706,22/12/2019,306.039659
707,23/12/2019,303.1171849
708,24/12/2019,298.3099664
710,26/12/2019,303.08121
712,28/12/2019,303.4756062
713,29/12/2019,298.6722202
715,31/12/2019,297.5454656
717,2/1/2020,302.0094524
720,5/1/2020,301.3640056
721,6/1/2020,292.8921171
722,7/1/2020,298.3326914
723,8/1/2020,296.3580102
725,10/1/2020,304.2923446
726,11/1/2020,301.393079
727,12/1/2020,321.8422508
728,13/1/2020,314.0788965
729,14/1/2020,316.6399203
730,15/1/2020,317.5105031
733,18/1/2020,313.4514333
734,19/1/2020,313.183274
735,20/1/2020,312.3684446
743,28/1/2020,302.7656629
744,29/1/2020,302.5375698
745,30/1/2020,298.4017118
749,3/2/2020,303.2872898
753,7/2/2020,310.9782186
754,8/2/2020,302.736983
759,13/2/2020,305.0197831
761,15/2/2020,299.8413653
762,16/2/2020,299.3292121
764,18/2/2020,302.3189058
771,25/2/2020,294.2120855
773,27/2/2020,296.0555394
774,28/2/2020,294.8015001
776,1/3/2020,289.9954585
777,2/3/2020,289.5012548
778,3/3/2020,290.2534663
780,5/3/2020,284.359594
797,22/3/2020,294.5503136
799,24/3/2020,296.8500428
800,25/3/2020,295.9452254
801,26/3/2020,293.2183236
802,27/3/2020,290.8427152
803,28/3/2020,287.7896529
804,29/3/2020,295.0093603
805,30/3/2020,289.0124634
807,1/4/2020,290.1661734
808,2/4/2020,291.3906446
809,3/4/2020,289.6452918
810,4/4/2020,289.5765748
814,8/4/2020,308.595389
821,15/4/2020,289.8926414
822,16/4/2020,291.9729047
825,19/4/2020,289.4838756
826,20/4/2020,288.9816655
827,21/4/2020,288.2086581
829,23/4/2020,283.4573006
830,24/4/2020,280.7188989
834,28/4/2020,278.3130142
835,29/4/2020,278.8148466
838,2/5/2020,277.3708751
840,4/5/2020,279.0063399
