Date,iPhone,Apple iPhone 8
8/1/2019,458.3683803,376.6616667
9/1/2019,459.6585196,399
11/1/2019,448.0532872,395.77
12/1/2019,447.3478909,383.065
13/1/2019,443.3624182,363.79
15/1/2019,443.259879,366.315
16/1/2019,438.8473515,349.99
19/1/2019,449.7414087,402.495
20/1/2019,450.0825521,384.5
21/1/2019,450.7973126,397.8228571
22/1/2019,452.4213232,411.8333333
23/1/2019,443.2568655,383.325
24/1/2019,443.4087968,386.24
26/1/2019,437.6773984,377.99
29/1/2019,430.4606516,375.48
30/1/2019,434.1017509,388.3233333
31/1/2019,425.6746033,389.97
1/2/2019,425.0311313,389.97
7/2/2019,415.8501571,372.9833333
8/2/2019,415.7846218,374.97
10/2/2019,409.4391941,369.99
14/2/2019,412.5311046,367.93
15/2/2019,411.641194,368.395
16/2/2019,410.8019216,359.28
17/2/2019,419.2918911,358.925
18/2/2019,417.1174326,368.0583333
19/2/2019,415.5104916,362.53
23/2/2019,418.4895242,351.9642857
24/2/2019,411.3464206,349.9928571
25/2/2019,411.3118407,351.994
26/2/2019,413.893189,347.49
27/2/2019,410.6136091,350.9933333
1/3/2019,417.3091869,354.53
2/3/2019,419.1163219,352.395
3/3/2019,413.0665938,352.495
4/3/2019,417.8480823,341.9925
5/3/2019,409.1985291,347.715
6/3/2019,423.6708519,347.4875
7/3/2019,423.3085541,355
8/3/2019,420.5164212,349.99
9/3/2019,415.0446652,352.3366667
10/3/2019,414.322683,335.704
11/3/2019,412.4197038,314.27
12/3/2019,416.6100427,341.99
14/3/2019,424.0366683,353.7533333
15/3/2019,429.3237304,355.2642857
16/3/2019,432.6898189,358.7666667
18/3/2019,433.1671624,365.3233333
19/3/2019,431.5086772,342.99
20/3/2019,427.3881688,323.995
22/3/2019,422.8301259,324.49
24/3/2019,419.8600931,322.7325
25/3/2019,422.5553749,323.24
26/3/2019,422.3714928,318.19
27/3/2019,423.4199799,310
28/3/2019,420.9024425,308.796
29/3/2019,422.9122833,309.785
30/3/2019,424.1878498,309.4925
31/3/2019,423.6782452,309
1/4/2019,419.755643,302.192
2/4/2019,415.5038065,296.6566667
4/4/2019,419.6822247,309.495
5/4/2019,421.2295757,315.28
8/4/2019,438.5458167,358.3166667
9/4/2019,431.4389681,346.19
12/4/2019,422.6441896,308.4575
15/4/2019,418.5721756,311.745
16/4/2019,410.4168586,287.9466667
17/4/2019,423.616251,336.3266667
19/4/2019,419.5976879,316.91125
20/4/2019,423.3338727,322.7422222
21/4/2019,415.7962425,312.08875
22/4/2019,431.0523795,328.3225
23/4/2019,434.5850149,291.43
24/4/2019,417.9492846,321.716
25/4/2019,418.7286047,307.6036364
27/4/2019,416.6269912,305.695
28/4/2019,419.3108519,305.389
1/5/2019,420.7586762,305.4383333
2/5/2019,423.6629804,305.16
4/5/2019,427.8416968,309.158
18/5/2019,401.8557525,288.2692857
19/5/2019,395.4581606,288.3133333
20/5/2019,395.0575832,285
22/5/2019,401.5101271,287.394
28/5/2019,398.0916438,282.25
31/5/2019,394.6218823,280.992
2/6/2019,407.4348447,279.786
4/6/2019,404.6137903,284.25
5/6/2019,404.4563088,274.6166667
6/6/2019,405.2681752,279.63
7/6/2019,414.9687696,268.05
8/6/2019,404.1655286,258.9957143
9/6/2019,397.4690891,257.81
10/6/2019,395.053156,259.1457143
11/6/2019,395.5421102,259.0816667
12/6/2019,394.9950887,257.9866667
14/6/2019,398.6643843,256.3233333
15/6/2019,399.3093841,249.66
18/6/2019,397.0026851,246.7
19/6/2019,394.5946715,239.9275
21/6/2019,394.6270647,238.295
25/6/2019,394.7471066,237.7711111
26/6/2019,394.8308977,237.696
27/6/2019,394.6481612,236.3638095
28/6/2019,389.7603301,235.376
29/6/2019,392.0974178,232.6816667
30/6/2019,390.2468137,232.34
1/7/2019,385.361603,232.22
